Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
---------------------------------------------------------------------
Vardas4          Pavardė4        5.44                5.80                
Vardas7          Pavardė7        7.88                7.60                
Vardas12         Pavardė12       5.60                5.20                
Vardas13         Pavardė13       5.32                5.80                
Vardas15         Pavardė15       7.56                7.60                
Vardas17         Pavardė17       7.00                6.80                
Vardas18         Pavardė18       6.64                6.80                
Vardas19         Pavardė19       5.36                5.00                
Vardas22         Pavardė22       8.16                8.00                
Vardas26         Pavardė26       7.56                8.00                
Vardas27         Pavardė27       8.72                8.60                
Vardas29         Pavardė29       5.12                5.60                
Vardas30         Pavardė30       5.68                6.00                
Vardas31         Pavardė31       7.12                7.00                
Vardas33         Pavardė33       7.64                7.60                
Vardas34         Pavardė34       7.76                7.80                
Vardas36         Pavardė36       7.16                7.00                
Vardas38         Pavardė38       6.12                6.60                
Vardas39         Pavardė39       7.84                8.00                
Vardas42         Pavardė42       7.28                7.80                
Vardas43         Pavardė43       6.00                6.00                
Vardas46         Pavardė46       7.24                7.00                
Vardas50         Pavardė50       6.48                6.40                
Vardas51         Pavardė51       6.20                6.20                
Vardas52         Pavardė52       6.72                6.40                
Vardas53         Pavardė53       5.40                5.00                
Vardas54         Pavardė54       5.84                6.20                
Vardas56         Pavardė56       5.20                5.20                
Vardas58         Pavardė58       6.08                6.00                
Vardas60         Pavardė60       8.72                9.20                
Vardas61         Pavardė61       7.52                7.60                
Vardas63         Pavardė63       6.56                6.60                
Vardas65         Pavardė65       6.08                6.40                
Vardas66         Pavardė66       7.20                7.00                
Vardas67         Pavardė67       6.96                7.40                
Vardas68         Pavardė68       7.32                7.40                
Vardas70         Pavardė70       7.56                7.20                
Vardas73         Pavardė73       5.92                5.80                
Vardas74         Pavardė74       5.44                5.20                
Vardas75         Pavardė75       5.00                4.60                
Vardas76         Pavardė76       8.04                8.20                
Vardas77         Pavardė77       8.40                8.20                
Vardas78         Pavardė78       7.40                7.40                
Vardas80         Pavardė80       7.68                7.60                
Vardas81         Pavardė81       7.80                7.80                
Vardas88         Pavardė88       7.96                7.40                
Vardas89         Pavardė89       5.88                5.40                
Vardas91         Pavardė91       5.80                5.80                
Vardas93         Pavardė93       5.48                4.80                
Vardas94         Pavardė94       7.68                7.60                
Vardas97         Pavardė97       5.80                5.80                
Vardas99         Pavardė99       5.36                5.80                
Vardas100        Pavardė100      5.84                5.60                
Vardas102        Pavardė102      6.04                5.80                
Vardas103        Pavardė103      7.12                7.00                
Vardas110        Pavardė110      7.72                8.00                
Vardas111        Pavardė111      7.12                7.20                
Vardas113        Pavardė113      7.40                7.20                
Vardas114        Pavardė114      5.80                5.60                
Vardas115        Pavardė115      7.12                7.40                
Vardas116        Pavardė116      7.64                7.20                
Vardas117        Pavardė117      5.60                5.40                
Vardas119        Pavardė119      5.12                5.20                
Vardas120        Pavardė120      8.48                8.40                
Vardas122        Pavardė122      6.04                5.80                
Vardas123        Pavardė123      5.64                5.40                
Vardas124        Pavardė124      5.24                5.40                
Vardas125        Pavardė125      7.00                6.80                
Vardas126        Pavardė126      8.56                9.20                
Vardas130        Pavardė130      5.76                5.80                
Vardas132        Pavardė132      7.12                7.00                
Vardas133        Pavardė133      6.44                5.80                
Vardas137        Pavardė137      6.88                7.00                
Vardas140        Pavardė140      6.28                6.20                
Vardas141        Pavardė141      7.68                7.60                
Vardas142        Pavardė142      5.40                5.60                
Vardas145        Pavardė145      7.00                6.20                
Vardas146        Pavardė146      7.36                7.20                
Vardas147        Pavardė147      6.80                6.60                
Vardas152        Pavardė152      7.64                7.80                
Vardas153        Pavardė153      7.72                7.80                
Vardas155        Pavardė155      8.52                8.80                
Vardas157        Pavardė157      7.68                7.60                
Vardas160        Pavardė160      7.16                7.40                
Vardas164        Pavardė164      8.24                8.60                
Vardas165        Pavardė165      6.28                6.40                
Vardas166        Pavardė166      6.60                6.80                
Vardas168        Pavardė168      7.48                7.40                
Vardas171        Pavardė171      7.00                7.20                
Vardas172        Pavardė172      7.52                7.80                
Vardas173        Pavardė173      5.40                5.40                
Vardas174        Pavardė174      7.32                7.40                
Vardas176        Pavardė176      6.96                7.00                
Vardas177        Pavardė177      7.28                7.60                
Vardas178        Pavardė178      7.36                7.40                
Vardas179        Pavardė179      7.52                7.20                
Vardas180        Pavardė180      6.48                6.80                
Vardas181        Pavardė181      7.52                8.00                
Vardas183        Pavardė183      8.00                8.00                
Vardas184        Pavardė184      7.76                7.60                
Vardas186        Pavardė186      5.12                4.80                
Vardas187        Pavardė187      6.20                6.00                
Vardas189        Pavardė189      7.80                8.00                
Vardas191        Pavardė191      8.16                8.60                
Vardas192        Pavardė192      6.80                7.20                
Vardas194        Pavardė194      7.36                7.60                
Vardas195        Pavardė195      7.56                7.40                
Vardas197        Pavardė197      7.16                6.60                
Vardas198        Pavardė198      5.16                5.00                
Vardas200        Pavardė200      8.16                8.00                
Vardas201        Pavardė201      5.76                6.00                
Vardas203        Pavardė203      7.52                7.40                
Vardas204        Pavardė204      6.68                7.00                
Vardas206        Pavardė206      7.84                7.60                
Vardas208        Pavardė208      7.88                7.80                
Vardas210        Pavardė210      6.92                7.00                
Vardas211        Pavardė211      6.16                6.20                
Vardas213        Pavardė213      6.76                6.20                
Vardas216        Pavardė216      7.32                7.20                
Vardas218        Pavardė218      6.60                6.60                
Vardas219        Pavardė219      5.24                5.20                
Vardas220        Pavardė220      6.32                7.00                
Vardas222        Pavardė222      5.68                5.60                
Vardas224        Pavardė224      7.04                7.20                
Vardas225        Pavardė225      6.28                6.20                
Vardas226        Pavardė226      7.12                6.60                
Vardas227        Pavardė227      5.48                5.60                
