Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
---------------------------------------------------------------------
Vardas13         Pavardė13          5.00                4.20                
Vardas165        Pavardė165         5.00                4.20                
Vardas268        Pavardė268         5.00                4.60                
Vardas289        Pavardė289         5.00                5.40                
Vardas570        Pavardė570         5.00                5.00                
Vardas605        Pavardė605         5.00                4.60                
Vardas656        Pavardė656         5.00                5.40                
Vardas680        Pavardė680         5.00                5.00                
Vardas713        Pavardė713         5.00                5.40                
Vardas24         Pavardė24          5.04                5.20                
Vardas173        Pavardė173         5.04                4.80                
Vardas192        Pavardė192         5.04                5.20                
Vardas281        Pavardė281         5.04                5.20                
Vardas335        Pavardė335         5.04                4.80                
Vardas411        Pavardė411         5.04                4.80                
Vardas512        Pavardė512         5.04                4.40                
Vardas792        Pavardė792         5.04                4.80                
Vardas855        Pavardė855         5.04                4.80                
Vardas926        Pavardė926         5.04                5.20                
Vardas78         Pavardė78          5.08                4.60                
Vardas81         Pavardė81          5.08                5.80                
Vardas85         Pavardė85          5.08                5.00                
Vardas176        Pavardė176         5.08                5.00                
Vardas258        Pavardė258         5.08                5.40                
Vardas552        Pavardė552         5.08                4.60                
Vardas315        Pavardė315         5.12                5.20                
Vardas669        Pavardė669         5.12                5.20                
Vardas46         Pavardė46          5.12                4.80                
Vardas817        Pavardė817         5.12                4.80                
Vardas82         Pavardė82          5.16                5.40                
Vardas233        Pavardė233         5.16                5.00                
Vardas485        Pavardė485         5.16                5.40                
Vardas723        Pavardė723         5.16                5.00                
Vardas794        Pavardė794         5.16                5.00                
Petras           Bagdonas            5.20                5.60                
Vardas145        Pavardė145         5.20                5.60                
Vardas220        Pavardė220         5.20                5.20                
Vardas654        Pavardė654         5.20                5.60                
Vardas920        Pavardė920         5.20                4.80                
Vardas991        Pavardė991         5.20                5.20                
Vardas999        Pavardė999         5.20                5.20                
Vardas279        Pavardė279         5.20                5.20                
Vardas510        Pavardė510         5.20                5.20                
Vardas377        Pavardė377         5.24                5.40                
Vardas478        Pavardė478         5.24                5.80                
Vardas698        Pavardė698         5.24                5.00                
Vardas725        Pavardė725         5.24                5.40                
Vardas785        Pavardė785         5.24                4.60                
Vardas880        Pavardė880         5.24                5.40                
Vardas230        Pavardė230         5.28                5.60                
Vardas641        Pavardė641         5.28                4.40                
