Vardas         Pavardė       ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egzaminas 
Vardas1        Pavardė1      2       10      2       7       5       8       7       4       9       1       2         
Vardas2        Pavardė2      3       9       2       3       3       5       9       7       8       3       7         
Vardas3        Pavardė3      5       3       1       1       7       5       4       6       8       9       7         
Vardas4        Pavardė4      4       10      8       10      4       3       8       1       1       1       7         
Vardas5        Pavardė5      9       2       8       6       1       10      10      2       3       3       10        
Vardas6        Pavardė6      10      5       3       2       5       10      10      7       4       5       1         
Vardas7        Pavardė7      8       10      9       10      10      7       3       1       2       6       10        
Vardas8        Pavardė8      5       2       9       8       2       10      7       8       3       1       1         
Vardas9        Pavardė9      4       1       7       10      3       9       7       9       9       4       1         
Vardas10       Pavardė10     2       10      2       4       10      7       1       2       3       8       7         
Vardas11       Pavardė11     5       4       3       9       9       2       6       4       6       1       1         
Vardas12       Pavardė12     4       4       5       10      5       7       5       4       4       6       7         
Vardas13       Pavardė13     6       5       7       2       3       3       7       8       6       10      9         
Vardas14       Pavardė14     4       6       8       8       7       4       2       5       8       6       9         
Vardas15       Pavardė15     1       2       2       10      10      2       7       5       1       5       10        
Vardas16       Pavardė16     6       10      8       6       9       1       4       8       3       2       9         
Vardas17       Pavardė17     1       8       5       5       4       5       9       1       10      7       7         
Vardas18       Pavardė18     7       7       9       6       10      10      10      3       6       10      10        
Vardas19       Pavardė19     3       3       9       2       5       3       2       8       4       6       10        
Vardas20       Pavardė20     8       6       4       6       4       2       2       9       2       1       8         
Vardas21       Pavardė21     4       5       7       9       1       4       2       1       1       10      2         
Vardas22       Pavardė22     8       4       7       3       4       2       3       4       8       7       2         
Vardas23       Pavardė23     3       3       10      6       7       10      6       1       8       5       5         
Vardas24       Pavardė24     5       9       5       5       3       6       1       10      5       3       3         
Vardas25       Pavardė25     3       10      5       9       9       4       7       1       1       7       7         
Vardas26       Pavardė26     4       4       5       10      1       8       7       3       3       10      10        
Vardas27       Pavardė27     9       10      8       4       6       10      3       8       6       3       5         
Vardas28       Pavardė28     8       4       8       1       3       4       9       5       6       2       10        
Vardas29       Pavardė29     7       8       3       7       3       2       4       1       4       4       8         
Vardas30       Pavardė30     7       1       8       1       5       3       10      10      2       4       3         
Vardas31       Pavardė31     8       5       8       3       10      2       10      4       1       7       9         
Vardas32       Pavardė32     6       9       7       1       8       1       2       9       7       3       1         
Vardas33       Pavardė33     7       4       10      2       10      6       2       5       7       8       5         
Vardas34       Pavardė34     2       2       4       4       1       2       10      1       6       2       3         
Vardas35       Pavardė35     7       7       7       6       2       3       9       7       8       10      7         
Vardas36       Pavardė36     6       9       4       4       7       6       7       1       8       6       6         
Vardas37       Pavardė37     4       3       3       3       9       8       9       6       2       6       1         
Vardas38       Pavardė38     10      5       9       3       6       2       3       7       2       1       4         
Vardas39       Pavardė39     8       4       9       3       1       7       6       9       10      10      4         
Vardas40       Pavardė40     6       7       2       7       6       5       6       8       2       3       6         
Vardas41       Pavardė41     8       4       5       9       2       1       2       7       6       3       4         
Vardas42       Pavardė42     2       5       10      4       8       3       2       8       10      2       9         
Vardas43       Pavardė43     7       1       10      9       2       3       9       1       10      6       3         
Vardas44       Pavardė44     9       8       1       7       1       1       2       4       3       5       2         
Vardas45       Pavardė45     8       2       8       9       6       6       10      3       9       10      9         
Vardas46       Pavardė46     10      5       5       6       10      7       7       9       7       7       1         
Vardas47       Pavardė47     9       9       8       7       1       2       1       9       10      3       6         
Vardas48       Pavardė48     6       9       6       8       6       2       5       8       10      2       1         
Vardas49       Pavardė49     7       10      8       2       5       5       4       1       5       10      8         
Vardas50       Pavardė50     1       9       2       5       8       4       3       8       10      2       4         
Vardas51       Pavardė51     9       2       6       6       2       5       5       3       9       7       5         
Vardas52       Pavardė52     9       10      10      6       3       7       5       6       3       8       3         
Vardas53       Pavardė53     10      4       3       5       6       4       7       10      6       1       1         
Vardas54       Pavardė54     10      5       7       5       7       5       4       2       9       10      3         
Vardas55       Pavardė55     2       9       5       5       10      8       4       10      1       2       10        
Vardas56       Pavardė56     5       10      9       2       6       8       1       5       5       4       4         
Vardas57       Pavardė57     1       8       9       2       5       7       3       7       5       7       10        
Vardas58       Pavardė58     2       10      1       5       5       9       8       7       9       9       4         
Vardas59       Pavardė59     10      6       3       3       3       3       7       10      6       4       6         
Vardas60       Pavardė60     6       6       8       1       3       9       7       5       4       5       3         
Vardas61       Pavardė61     7       9       6       3       3       4       6       8       10      9       7         
Vardas62       Pavardė62     8       1       10      5       8       8       1       7       7       8       5         
Vardas63       Pavardė63     7       9       9       2       4       10      2       8       4       1       2         
