Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
---------------------------------------------------------------------
Vardas1          Pavardė1        3.40                3.60                
Vardas6          Pavardė6        3.04                2.60                
Vardas8          Pavardė8        2.80                3.00                
Vardas9          Pavardė9        3.12                3.40                
Vardas11         Pavardė11       2.56                2.40                
Vardas21         Pavardė21       2.96                2.80                
Vardas22         Pavardė22       3.20                2.80                
Vardas24         Pavardė24       3.88                3.80                
Vardas30         Pavardė30       3.84                3.60                
Vardas32         Pavardė32       2.72                3.20                
Vardas34         Pavardė34       3.16                2.60                
Vardas37         Pavardė37       2.72                2.60                
Vardas38         Pavardė38       4.32                4.00                
Vardas41         Pavardė41       4.28                4.20                
Vardas43         Pavardė43       4.12                4.40                
Vardas44         Pavardė44       2.84                2.60                
Vardas46         Pavardė46       3.52                3.40                
Vardas48         Pavardė48       3.08                3.00                
Vardas50         Pavardė50       4.48                4.20                
Vardas52         Pavardė52       4.48                4.40                
Vardas53         Pavardė53       2.84                2.80                
Vardas54         Pavardė54       4.36                4.20                
Vardas56         Pavardė56       4.60                4.40                
Vardas60         Pavardė60       3.96                4.00                
Vardas63         Pavardė63       3.44                3.40                
Vardas64         Pavardė64       3.28                3.20                
Vardas67         Pavardė67       4.08                4.20                
Vardas68         Pavardė68       4.40                4.20                
Vardas72         Pavardė72       3.12                3.20                
Vardas74         Pavardė74       4.40                4.00                
Vardas77         Pavardė77       3.64                4.00                
Vardas83         Pavardė83       2.76                2.80                
Vardas84         Pavardė84       2.80                2.60                
Vardas85         Pavardė85       4.84                4.80                
Vardas87         Pavardė87       3.64                3.60                
Vardas88         Pavardė88       4.72                4.80                
Vardas91         Pavardė91       3.48                3.40                
Vardas92         Pavardė92       4.32                4.40                
Vardas95         Pavardė95       2.92                3.00                
Vardas96         Pavardė96       3.24                3.40                
Vardas97         Pavardė97       4.24                4.00                
Vardas99         Pavardė99       4.76                4.80                
Vardas101        Pavardė101      3.48                3.80                
Vardas102        Pavardė102      4.12                4.00                
Vardas106        Pavardė106      4.84                4.20                
Vardas107        Pavardė107      4.04                4.40                
Vardas108        Pavardė108      3.04                3.00                
Vardas114        Pavardė114      3.76                3.60                
Vardas116        Pavardė116      4.04                4.00                
Vardas118        Pavardė118      4.72                4.60                
Vardas120        Pavardė120      3.48                3.20                
Vardas122        Pavardė122      3.76                3.80                
Vardas131        Pavardė131      4.92                4.40                
Vardas132        Pavardė132      2.16                2.00                
Vardas133        Pavardė133      3.04                3.00                
Vardas139        Pavardė139      3.28                2.80                
Vardas140        Pavardė140      4.00                4.00                
Vardas142        Pavardė142      4.24                4.20                
Vardas144        Pavardė144      2.72                2.60                
Vardas145        Pavardė145      3.56                3.80                
Vardas147        Pavardė147      3.00                3.20                
Vardas148        Pavardė148      3.84                4.40                
Vardas150        Pavardė150      4.64                4.60                
Vardas156        Pavardė156      3.60                2.80                
Vardas157        Pavardė157      3.52                3.60                
Vardas163        Pavardė163      2.76                2.60                
Vardas166        Pavardė166      3.44                3.60                
Vardas169        Pavardė169      3.36                3.60                
Vardas170        Pavardė170      4.52                4.20                
Vardas172        Pavardė172      2.40                2.60                
Vardas173        Pavardė173      4.36                4.20                
Vardas179        Pavardė179      4.20                4.60                
Vardas180        Pavardė180      3.36                3.20                
Vardas186        Pavardė186      3.20                3.40                
Vardas194        Pavardė194      4.36                4.80                
Vardas198        Pavardė198      4.48                4.80                
Vardas199        Pavardė199      3.72                4.00                
Vardas200        Pavardė200      3.60                4.20                
Vardas202        Pavardė202      2.12                2.20                
Vardas204        Pavardė204      4.72                4.40                
Vardas205        Pavardė205      3.76                3.60                
Vardas206        Pavardė206      3.24                3.40                
Vardas210        Pavardė210      3.64                4.00                
Vardas214        Pavardė214      4.48                4.40                
Vardas217        Pavardė217      2.60                2.60                
Vardas218        Pavardė218      3.12                3.20                
Vardas219        Pavardė219      3.88                3.60                
Vardas221        Pavardė221      3.24                3.20                
Vardas222        Pavardė222      4.36                4.40                
Vardas223        Pavardė223      4.80                4.80                
Vardas224        Pavardė224      3.56                3.40                
