Vardas           Pavarde         Galutinis (Vid.)    Galutinis (Med.)    
---------------------------------------------------------------------
Vardas51         Pavardė51          1.56                1.00                
Vardas500        Pavardė500         1.88                1.80                
Vardas447        Pavardė447         1.96                1.80                
Vardas518        Pavardė518         1.96                2.20                
Vardas705        Pavardė705         1.96                1.80                
Vardas168        Pavardė168         2.04                2.20                
Vardas291        Pavardė291         2.04                1.80                
Vardas702        Pavardė702         2.04                1.80                
Vardas379        Pavardė379         2.12                2.60                
Vardas849        Pavardė849         2.12                1.40                
Vardas927        Pavardė927         2.12                2.20                
Vardas198        Pavardė198         2.20                2.20                
Vardas603        Pavardė603         2.20                2.20                
Vardas691        Pavardė691         2.20                1.80                
Vardas922        Pavardė922         2.20                2.20                
Vardas339        Pavardė339         2.28                2.60                
Vardas393        Pavardė393         2.28                2.60                
Vardas694        Pavardė694         2.28                2.60                
Vardas873        Pavardė873         2.28                1.40                
Vardas327        Pavardė327         2.32                2.40                
Vardas283        Pavardė283         2.36                1.80                
Vardas550        Pavardė550         2.36                2.20                
Vardas661        Pavardė661         2.36                1.80                
Vardas857        Pavardė857         2.36                1.80                
Vardas383        Pavardė383         2.40                2.00                
Vardas209        Pavardė209         2.44                3.00                
Vardas689        Pavardė689         2.44                3.00                
Vardas753        Pavardė753         2.44                1.80                
Vardas783        Pavardė783         2.44                1.00                
Vardas974        Pavardė974         2.44                2.20                
Vardas427        Pavardė427         2.48                2.00                
Vardas520        Pavardė520         2.48                2.80                
Vardas90         Pavardė90          2.52                2.60                
Vardas121        Pavardė121         2.52                2.60                
Vardas288        Pavardė288         2.52                2.20                
Vardas637        Pavardė637         2.52                2.20                
Vardas644        Pavardė644         2.52                2.20                
Vardas731        Pavardė731         2.52                2.60                
Vardas744        Pavardė744         2.52                2.60                
Vardas146        Pavardė146         2.60                3.00                
Vardas293        Pavardė293         2.60                3.00                
Vardas337        Pavardė337         2.60                2.20                
Vardas372        Pavardė372         2.60                3.00                
Vardas448        Pavardė448         2.60                2.60                
Vardas499        Pavardė499         2.60                2.20                
Vardas710        Pavardė710         2.60                2.60                
Vardas740        Pavardė740         2.60                1.40                
Vardas796        Pavardė796         2.60                2.20                
Vardas104        Pavardė104         2.64                2.80                
Vardas371        Pavardė371         2.64                2.40                
Vardas412        Pavardė412         2.64                2.40                
Vardas696        Pavardė696         2.68                2.60                
Vardas979        Pavardė979         2.68                2.20                
Vardas673        Pavardė673         2.76                1.80                
Vardas997        Pavardė997         2.76                3.00                
Vardas23         Pavardė23          2.80                2.40                
Vardas449        Pavardė449         2.80                2.00                
Vardas537        Pavardė537         2.80                3.20                
Vardas585        Pavardė585         2.80                2.00                
Vardas818        Pavardė818         2.80                2.40                
Vardas122        Pavardė122         2.84                3.00                
Vardas482        Pavardė482         2.84                3.40                
Vardas544        Pavardė544         2.84                2.60                
Vardas248        Pavardė248         2.88                3.20                
Vardas652        Pavardė652         2.88                2.80                
Vardas812        Pavardė812         2.88                2.80                
Vardas837        Pavardė837         2.88                3.20                
Vardas155        Pavardė155         2.92                3.40                
Vardas251        Pavardė251         2.92                3.40                
Vardas270        Pavardė270         2.92                3.00                
