Vardas           Pavarde          Med.             
--------------------------------------
Vardas1703       Pavarde1703      9.60               
Vardas2391       Pavarde2391      9.60               
Vardas2412       Pavarde2412      9.60               
Vardas2525       Pavarde2525      9.60               
Vardas7482       Pavarde7482      9.60               
Vardas8487       Pavarde8487      9.60               
Vardas36         Pavarde36        9.20               
Vardas348        Pavarde348       9.20               
Vardas1241       Pavarde1241      9.20               
Vardas1274       Pavarde1274      9.20               
Vardas1828       Pavarde1828      9.20               
Vardas2394       Pavarde2394      9.20               
Vardas2693       Pavarde2693      9.20               
Vardas3395       Pavarde3395      9.20               
Vardas3399       Pavarde3399      9.20               
Vardas3641       Pavarde3641      9.20               
Vardas3724       Pavarde3724      9.20               
Vardas3920       Pavarde3920      9.20               
Vardas3993       Pavarde3993      9.20               
Vardas4172       Pavarde4172      9.20               
Vardas4476       Pavarde4476      9.20               
Vardas4608       Pavarde4608      9.20               
Vardas4632       Pavarde4632      9.20               
Vardas4653       Pavarde4653      9.20               
Vardas5304       Pavarde5304      9.20               
Vardas5430       Pavarde5430      9.20               
Vardas5932       Pavarde5932      9.20               
Vardas5980       Pavarde5980      9.20               
Vardas6528       Pavarde6528      9.20               
Vardas6596       Pavarde6596      9.20               
Vardas6612       Pavarde6612      9.20               
Vardas6653       Pavarde6653      9.20               
Vardas6770       Pavarde6770      9.20               
Vardas7277       Pavarde7277      9.20               
Vardas7392       Pavarde7392      9.20               
Vardas7459       Pavarde7459      9.20               
Vardas7583       Pavarde7583      9.20               
Vardas7904       Pavarde7904      9.20               
Vardas7952       Pavarde7952      9.20               
Vardas8201       Pavarde8201      9.20               
Vardas8223       Pavarde8223      9.20               
Vardas8322       Pavarde8322      9.20               
Vardas8577       Pavarde8577      9.20               
Vardas8663       Pavarde8663      9.20               
Vardas8856       Pavarde8856      9.20               
Vardas8922       Pavarde8922      9.20               
Vardas8957       Pavarde8957      9.20               
Vardas9228       Pavarde9228      9.20               
Vardas9319       Pavarde9319      9.20               
Vardas9378       Pavarde9378      9.20               
Vardas9615       Pavarde9615      9.20               
Vardas9638       Pavarde9638      9.20               
Vardas9760       Pavarde9760      9.20               
Vardas9980       Pavarde9980      9.20               
Vardas883        Pavarde883       9.00               
Vardas1031       Pavarde1031      9.00               
Vardas3541       Pavarde3541      9.00               
Vardas5126       Pavarde5126      9.00               
Vardas7797       Pavarde7797      9.00               
Vardas18         Pavarde18        8.80               
Vardas46         Pavarde46        8.80               
Vardas67         Pavarde67        8.80               
Vardas97         Pavarde97        8.80               
Vardas169        Pavarde169       8.80               
Vardas220        Pavarde220       8.80               
Vardas243        Pavarde243       8.80               
Vardas261        Pavarde261       8.80               
Vardas271        Pavarde271       8.80               
Vardas310        Pavarde310       8.80               
Vardas359        Pavarde359       8.80               
Vardas410        Pavarde410       8.80               
Vardas469        Pavarde469       8.80               
Vardas475        Pavarde475       8.80               
Vardas523        Pavarde523       8.80               
Vardas540        Pavarde540       8.80               
Vardas570        Pavarde570       8.80               
Vardas645        Pavarde645       8.80               
Vardas656        Pavarde656       8.80               
Vardas715        Pavarde715       8.80               
Vardas772        Pavarde772       8.80               
Vardas783        Pavarde783       8.80               
Vardas806        Pavarde806       8.80               
Vardas975        Pavarde975       8.80               
Vardas993        Pavarde993       8.80               
Vardas997        Pavarde997       8.80               
Vardas1067       Pavarde1067      8.80               
Vardas1102       Pavarde1102      8.80               
Vardas1109       Pavarde1109      8.80               
